model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,98.93,1.07,99.91,0.09,305.08,448,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,98.85,1.15,99.88,0.12,305.08,448,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,98.84,1.16,99.83,0.17,305.08,448,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,98.83,1.17,99.9,0.1,"1,014.45",560,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,98.82,1.18,99.81,0.19,"1,013.01",336,1.0,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,98.81,1.19,99.9,0.1,"1,013.01",336,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,98.74,1.26,99.8,0.2,304.53,336,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,98.73,1.27,99.87,0.13,304.53,336,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,98.73,1.27,99.79,0.21,305.08,448,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,98.64,1.36,99.8,0.2,87.12,448,1.0,bicubic
maxvit_base_tf_512.in21k_ft_in1k,98.62,1.38,99.8,0.2,119.88,512,1.0,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,98.62,1.38,99.8,0.2,475.77,512,1.0,bicubic
maxvit_large_tf_512.in21k_ft_in1k,98.62,1.38,99.79,0.21,212.33,512,1.0,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,98.56,1.44,99.84,0.16,305.67,512,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,98.54,1.46,99.76,0.24,304.43,224,0.95,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,98.52,1.48,99.82,0.18,305.00,384,1.0,bicubic
maxvit_base_tf_384.in21k_ft_in1k,98.52,1.48,99.75,0.25,119.65,384,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,98.5,1.5,99.83,0.17,480.31,475,0.936,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,98.5,1.5,99.78,0.22,475.32,384,1.0,bicubic
maxvit_large_tf_384.in21k_ft_in1k,98.49,1.51,99.75,0.25,212.03,384,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,98.48,1.52,99.78,0.22,200.13,384,1.0,bicubic
deit3_large_patch16_384.fb_in22k_ft_in1k,98.46,1.54,99.76,0.24,304.76,384,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,98.46,1.54,99.75,0.25,"1,012.56",224,0.9,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,98.44,1.56,99.82,0.18,87.12,448,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k_384,98.44,1.56,99.8,0.2,98.75,384,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k_384,98.42,1.58,99.81,0.19,350.20,384,1.0,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,98.42,1.58,99.81,0.19,632.46,336,1.0,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,98.42,1.58,99.77,0.23,304.14,196,1.0,bicubic
eva_large_patch14_196.in22k_ft_in1k,98.36,1.64,99.82,0.18,304.14,196,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,98.34,1.66,99.76,0.24,304.53,336,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,98.3,1.7,99.76,0.24,632.05,224,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,98.28,1.72,99.77,0.23,200.13,320,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k_384,98.26,1.74,99.83,0.17,99.88,384,1.0,bicubic
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,98.26,1.74,99.78,0.22,116.09,384,1.0,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,98.26,1.74,99.77,0.23,304.53,336,1.0,bicubic
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,98.25,1.75,99.76,0.24,200.13,384,1.0,bicubic
convnext_large.fb_in22k_ft_in1k_384,98.24,1.76,99.75,0.25,197.77,384,1.0,bicubic
vit_large_patch16_384.augreg_in21k_ft_in1k,98.22,1.78,99.8,0.2,304.72,384,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,98.22,1.78,99.72,0.28,304.20,224,1.0,bicubic
vit_large_patch14_clip_336.laion2b_ft_in1k,98.22,1.78,99.72,0.28,304.53,336,1.0,bicubic
vit_base_patch16_clip_384.openai_ft_in12k_in1k,98.19,1.81,99.66,0.34,86.86,384,0.95,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,98.18,1.82,99.76,0.24,304.43,224,0.9,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,98.17,1.83,99.76,0.24,304.37,224,1.0,bicubic
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,98.17,1.83,99.76,0.24,116.14,384,1.0,bicubic
deit3_huge_patch14_224.fb_in22k_ft_in1k,98.17,1.83,99.73,0.27,632.13,224,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k,98.16,1.84,99.78,0.22,98.75,224,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,98.16,1.84,99.66,0.34,304.20,224,1.0,bicubic
caformer_m36.sail_in22k_ft_in1k_384,98.15,1.85,99.75,0.25,56.20,384,1.0,bicubic
convnext_large.fb_in22k_ft_in1k,98.12,1.88,99.74,0.26,197.77,288,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,98.11,1.89,99.78,0.22,350.20,288,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,98.08,1.92,99.76,0.24,304.20,224,1.0,bicubic
convnext_base.fb_in22k_ft_in1k_384,98.08,1.92,99.65,0.35,88.59,384,1.0,bicubic
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,98.07,1.93,99.72,0.28,73.88,384,1.0,bicubic
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,98.04,1.96,99.75,0.25,88.59,384,1.0,bicubic
convformer_m36.sail_in22k_ft_in1k_384,98.04,1.96,99.69,0.31,57.05,384,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in1k,98.02,1.98,99.72,0.28,632.05,224,1.0,bicubic
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,97.99,2.01,99.66,0.34,86.86,384,1.0,bicubic
