model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff,rank_diff
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,88.227,11.773,97.093,2.907,305.08,448,1.0,bicubic,-10.623,-2.787,1
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,87.893,12.107,96.92,3.08,305.08,448,1.0,bicubic,-11.037,-2.99,-1
eva_giant_patch14_560.m30m_ft_in22k_in1k,87.573,12.427,96.893,3.107,"1,014.45",560,1.0,bicubic,-11.257,-3.007,1
eva02_large_patch14_448.mim_m38m_ft_in1k,87.107,12.893,96.28,3.72,305.08,448,1.0,bicubic,-11.623,-3.59,5
eva02_large_patch14_448.mim_in22k_ft_in1k,86.227,13.773,95.787,4.213,305.08,448,1.0,bicubic,-12.613,-4.043,-2
eva_giant_patch14_336.clip_ft_in1k,85.307,14.693,95.72,4.28,"1,013.01",336,1.0,bicubic,-13.513,-4.09,-1
eva_giant_patch14_336.m30m_ft_in22k_in1k,85.147,14.853,96.36,3.64,"1,013.01",336,1.0,bicubic,-13.663,-3.54,-1
eva_large_patch14_336.in22k_ft_in22k_in1k,83.853,16.147,95.347,4.653,304.53,336,1.0,bicubic,-14.887,-4.453,-3
maxvit_xlarge_tf_512.in21k_ft_in1k,83.4,16.6,95.52,4.48,475.77,512,1.0,bicubic,-15.22,-4.27,1
tf_efficientnet_l2.ns_jft_in1k_475,83.4,16.6,95.453,4.547,480.31,475,0.936,bicubic,-15.1,-4.327,8
eva_large_patch14_336.in22k_ft_in1k,82.76,17.24,95.507,4.493,304.53,336,1.0,bicubic,-15.97,-4.283,-6
maxvit_large_tf_512.in21k_ft_in1k,81.733,18.267,95.027,4.973,212.33,512,1.0,bicubic,-16.887,-4.773,-1
beit_large_patch16_512.in22k_ft_in22k_in1k,81.6,18.4,94.88,5.12,305.67,512,1.0,bicubic,-16.96,-4.96,0
maxvit_base_tf_512.in21k_ft_in1k,81.36,18.64,94.467,5.533,119.88,512,1.0,bicubic,-17.26,-5.333,-5
eva_giant_patch14_224.clip_ft_in1k,81.213,18.787,94.333,5.667,"1,012.56",224,0.9,bicubic,-17.247,-5.417,8
maxvit_xlarge_tf_384.in21k_ft_in1k,81.067,18.933,94.64,5.36,475.32,384,1.0,bicubic,-17.433,-5.19,3
