model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,98.15,1.85,99.88,0.12,305.08,448,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,98.03,1.97,99.89,0.11,305.08,448,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,98.0,2.0,99.86,0.14,"1,014.45",560,1.0,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,97.99,2.01,99.9,0.1,"1,013.01",336,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,97.86,2.14,99.88,0.12,304.53,336,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,97.86,2.14,99.8,0.2,305.08,448,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,97.86,2.14,99.79,0.21,"1,013.01",336,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,97.83,2.17,99.82,0.18,305.08,448,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,97.81,2.19,99.84,0.16,304.53,336,1.0,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,97.81,2.19,99.79,0.21,305.00,384,1.0,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,97.78,2.22,99.82,0.18,305.67,512,1.0,bicubic
maxvit_base_tf_512.in21k_ft_in1k,97.76,2.24,99.86,0.14,119.88,512,1.0,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,97.76,2.24,99.82,0.18,475.77,512,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,97.75,2.25,99.82,0.18,480.31,475,0.936,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,97.75,2.25,99.79,0.21,304.43,224,0.95,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,97.74,2.26,99.85,0.15,475.32,384,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,97.72,2.28,99.76,0.24,87.12,448,1.0,bicubic
maxvit_large_tf_512.in21k_ft_in1k,97.67,2.33,99.73,0.27,212.33,512,1.0,bicubic
caformer_b36.sail_in22k_ft_in1k_384,97.66,2.34,99.86,0.14,98.75,384,1.0,bicubic
maxvit_large_tf_384.in21k_ft_in1k,97.66,2.34,99.82,0.18,212.03,384,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,97.61,2.39,99.82,0.18,87.12,448,1.0,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,97.61,2.39,99.81,0.19,304.14,196,1.0,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,97.61,2.39,99.78,0.22,632.46,336,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,97.61,2.39,99.73,0.27,304.20,224,1.0,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,97.6,2.4,99.73,0.27,304.53,336,1.0,bicubic
