model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff,rank_diff
eva_giant_patch14_336.clip_ft_in1k,90.55,9.45,97.23,2.77,"1,013.01",336,1.0,bicubic,-7.31,-2.65,6
eva02_large_patch14_448.mim_m38m_ft_in1k,90.457,9.543,97.267,2.733,305.08,448,1.0,bicubic,-7.373,-2.553,6
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,90.293,9.707,97.17,2.83,305.08,448,1.0,bicubic,-7.737,-2.72,-2
eva_giant_patch14_224.clip_ft_in1k,89.843,10.157,97.023,2.977,"1,012.56",224,0.9,bicubic,-7.727,-2.687,29
eva_giant_patch14_336.m30m_ft_in22k_in1k,88.59,11.41,95.92,4.08,"1,013.01",336,1.0,bicubic,-9.4,-3.98,-2
eva_giant_patch14_560.m30m_ft_in22k_in1k,88.397,11.603,95.61,4.39,"1,014.45",560,1.0,bicubic,-9.603,-4.25,-4
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,87.98,12.02,95.61,4.39,305.08,448,1.0,bicubic,-10.17,-4.27,-8
eva02_large_patch14_448.mim_in22k_ft_in1k,87.587,12.413,95.73,4.27,305.08,448,1.0,bicubic,-10.273,-4.06,-3
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,84.437,15.563,94.297,5.703,200.13,384,1.0,bicubic,-12.953,-5.433,34
vit_large_patch14_clip_336.openai_ft_in12k_in1k,83.923,16.077,93.873,6.127,304.53,336,1.0,bicubic,-13.677,-5.857,18
vit_large_patch14_clip_336.laion2b_ft_in1k,83.61,16.39,93.51,6.49,304.53,336,1.0,bicubic,-13.62,-6.21,63
eva_large_patch14_336.in22k_ft_in1k,83.52,16.48,93.103,6.897,304.53,336,1.0,bicubic,-14.29,-6.757,-4
vit_huge_patch14_clip_224.laion2b_ft_in1k,83.263,16.737,93.133,6.867,632.05,224,1.0,bicubic,-13.837,-6.557,80
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,83.047,16.953,92.837,7.163,632.46,336,1.0,bicubic,-14.563,-6.943,12
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,82.797,17.203,92.613,7.387,632.05,224,1.0,bicubic,-14.563,-7.187,36
vit_large_patch14_clip_224.openai_ft_in1k,82.323,17.677,92.907,7.093,304.20,224,1.0,bicubic,-15.117,-6.773,24
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,82.217,17.783,92.433,7.567,200.13,384,1.0,bicubic,-15.253,-7.327,19
vit_large_patch14_clip_224.laion2b_ft_in1k,81.7,18.3,92.263,7.737,304.20,224,1.0,bicubic,-15.32,-7.407,90
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,81.347,18.653,91.963,8.037,200.13,320,1.0,bicubic,-15.913,-7.747,48
eva_large_patch14_196.in22k_ft_in1k,81.3,18.7,91.533,8.467,304.14,196,1.0,bicubic,-16.22,-8.257,12
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,80.87,19.13,91.917,8.083,200.13,256,1.0,bicubic,-16.26,-7.863,65
eva_large_patch14_336.in22k_ft_in22k_in1k,80.087,19.913,89.357,10.643,304.53,336,1.0,bicubic,-17.773,-10.443,-21
vit_large_patch14_clip_224.openai_ft_in12k_in1k,78.677,21.323,88.92,11.08,304.20,224,1.0,bicubic,-18.933,-10.81,0
eva_large_patch14_196.in22k_ft_in22k_in1k,78.5,21.5,88.33,11.67,304.14,196,1.0,bicubic,-19.11,-11.48,-3
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,78.433,21.567,88.5,11.5,304.53,336,1.0,bicubic,-19.027,-11.28,8
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,78.267,21.733,88.673,11.327,304.20,224,1.0,bicubic,-19.123,-11.057,12
eva02_base_patch14_448.mim_in22k_ft_in1k,77.61,22.39,89.307,10.693,87.12,448,1.0,bicubic,-20.11,-10.453,-14
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,77.497,22.503,88.49,11.51,87.12,448,1.0,bicubic,-20.113,-11.33,-10
tf_efficientnet_l2.ns_jft_in1k_475,76.49,23.51,88.64,11.36,480.31,475,0.936,bicubic,-21.26,-11.15,-20
beitv2_large_patch16_224.in1k_ft_in22k_in1k,76.353,23.647,87.09,12.91,304.43,224,0.95,bicubic,-21.397,-12.73,-19
convnext_base.clip_laiona_augreg_ft_in1k_384,75.21,24.79,88.58,11.42,88.59,384,1.0,bicubic,-21.65,-11.11,88
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,75.173,24.827,88.46,11.54,88.59,384,1.0,bicubic,-21.867,-11.21,58
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,73.733,26.267,87.343,12.657,88.59,256,1.0,bicubic,-23.057,-12.337,97
convnext_base.clip_laion2b_augreg_ft_in1k,73.4,26.6,87.147,12.853,88.59,256,1.0,bicubic,-23.16,-12.503,134
beit_large_patch16_384.in22k_ft_in22k_in1k,73.277,26.723,85.03,14.97,305.00,384,1.0,bicubic,-24.533,-14.81,-38
beit_large_patch16_512.in22k_ft_in22k_in1k,73.16,26.84,85.09,14.91,305.67,512,1.0,bicubic,-24.62,-14.8,-36
maxvit_xlarge_tf_512.in21k_ft_in1k,71.873,28.127,82.927,17.073,475.77,512,1.0,bicubic,-25.887,-16.893,-36
maxvit_xlarge_tf_384.in21k_ft_in1k,71.703,28.297,82.713,17.287,475.32,384,1.0,bicubic,-26.037,-17.137,-33
beit_large_patch16_224.in22k_ft_in22k_in1k,71.04,28.96,83.43,16.57,304.43,224,0.9,bicubic,-26.44,-16.26,-17
deit3_huge_patch14_224.fb_in22k_ft_in1k,70.817,29.183,82.2,17.8,632.13,224,1.0,bicubic,-26.433,-17.52,17
vit_base_patch16_clip_384.laion2b_ft_in1k,70.777,29.223,83.82,16.18,86.86,384,1.0,bicubic,-26.123,-15.85,69
caformer_b36.sail_in22k_ft_in1k_384,70.75,29.25,82.65,17.35,98.75,384,1.0,bicubic,-26.91,-17.21,-34
deit3_large_patch16_384.fb_in22k_ft_in1k,70.58,29.42,82.437,17.563,304.76,384,1.0,bicubic,-27.0,-17.273,-26
beitv2_large_patch16_224.in1k_ft_in1k,70.403,29.597,83.373,16.627,304.43,224,0.95,bicubic,-26.907,-16.387,0
maxvit_base_tf_512.in21k_ft_in1k,70.383,29.617,81.6,18.4,119.88,512,1.0,bicubic,-27.377,-18.26,-45
maxvit_large_tf_512.in21k_ft_in1k,70.38,29.62,81.65,18.35,212.33,512,1.0,bicubic,-27.29,-18.08,-39
maxvit_large_tf_384.in21k_ft_in1k,70.01,29.99,81.037,18.963,212.03,384,1.0,bicubic,-27.65,-18.783,-38
deit3_large_patch16_224.fb_in22k_ft_in1k,69.71,30.29,81.197,18.803,304.37,224,1.0,bicubic,-27.6,-18.483,-3
maxvit_base_tf_384.in21k_ft_in1k,69.557,30.443,80.73,19.27,119.65,384,1.0,bicubic,-28.003,-19.03,-30
