model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff,rank_diff
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,91.129,8.871,98.713,1.287,305.08,448,1.0,bicubic,1.077,-0.335,0
eva_giant_patch14_336.clip_ft_in1k,91.058,8.942,98.602,1.399,"1,013.01",336,1.0,bicubic,1.592,-0.224,5
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,91.022,8.978,98.683,1.317,305.08,448,1.0,bicubic,1.052,-0.329,-1
eva_giant_patch14_560.m30m_ft_in22k_in1k,90.969,9.031,98.672,1.328,"1,014.45",560,1.0,bicubic,1.183,-0.32,-1
eva02_large_patch14_448.mim_in22k_ft_in1k,90.92,9.08,98.685,1.315,305.08,448,1.0,bicubic,1.298,-0.265,-1
eva_giant_patch14_336.m30m_ft_in22k_in1k,90.907,9.093,98.661,1.339,"1,013.01",336,1.0,bicubic,1.341,-0.291,0
eva_large_patch14_336.in22k_ft_in1k,90.905,9.095,98.785,1.215,304.53,336,1.0,bicubic,2.235,0.063,6
eva_giant_patch14_224.clip_ft_in1k,90.9,9.1,98.68,1.319,"1,012.56",224,0.9,bicubic,2.02,0.0,1
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,90.896,9.104,98.802,1.198,87.12,448,1.0,bicubic,2.206,0.078,2
eva02_large_patch14_448.mim_m38m_ft_in1k,90.89,9.11,98.653,1.347,305.08,448,1.0,bicubic,1.316,-0.271,-5
eva_large_patch14_336.in22k_ft_in22k_in1k,90.862,9.138,98.715,1.285,304.53,336,1.0,bicubic,1.656,-0.139,-3
eva02_base_patch14_448.mim_in22k_ft_in1k,90.8,9.2,98.742,1.258,87.12,448,1.0,bicubic,2.548,0.178,14
caformer_b36.sail_in22k_ft_in1k_384,90.781,9.219,98.86,1.14,98.75,384,1.0,bicubic,2.723,0.278,21
beit_large_patch16_512.in22k_ft_in22k_in1k,90.687,9.313,98.753,1.247,305.67,512,1.0,bicubic,2.091,0.097,1
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,90.678,9.322,98.813,1.187,200.13,384,1.0,bicubic,2.372,0.231,8
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,90.633,9.367,98.755,1.245,200.13,384,1.0,bicubic,2.785,0.309,24
beit_large_patch16_384.in22k_ft_in22k_in1k,90.606,9.394,98.766,1.234,305.00,384,1.0,bicubic,2.204,0.158,-1
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,90.584,9.416,98.617,1.383,116.14,384,1.0,bicubic,2.756,0.245,22
maxvit_base_tf_512.in21k_ft_in1k,90.561,9.439,98.702,1.298,119.88,512,1.0,bicubic,2.341,0.172,7
eva_large_patch14_196.in22k_ft_in22k_in1k,90.557,9.443,98.698,1.302,304.14,196,1.0,bicubic,1.983,0.04,-8
vit_large_patch14_clip_336.openai_ft_in12k_in1k,90.542,9.458,98.687,1.313,304.53,336,1.0,bicubic,2.274,0.161,-3
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,90.54,9.46,98.806,1.194,200.13,320,1.0,bicubic,2.582,0.331,8
tf_efficientnet_l2.ns_jft_in1k_475,90.537,9.463,98.71,1.29,480.31,475,0.936,bicubic,2.303,0.164,-2
eva_large_patch14_196.in22k_ft_in1k,90.535,9.465,98.77,1.23,304.14,196,1.0,bicubic,2.603,0.272,7
maxvit_xlarge_tf_512.in21k_ft_in1k,90.503,9.497,98.576,1.424,475.77,512,1.0,bicubic,1.965,-0.068,-14
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,90.501,9.499,98.631,1.369,632.46,336,1.0,bicubic,1.909,-0.031,-17
convnext_xlarge.fb_in22k_ft_in1k_384,90.495,9.505,98.768,1.232,350.20,384,1.0,bicubic,2.743,0.212,9
caformer_m36.sail_in22k_ft_in1k_384,90.46,9.54,98.668,1.332,56.20,384,1.0,bicubic,3.014,0.36,18
convformer_b36.sail_in22k_ft_in1k_384,90.448,9.552,98.772,1.228,99.88,384,1.0,bicubic,2.846,0.338,10
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,90.444,9.556,98.749,1.251,116.09,384,1.0,bicubic,2.98,0.375,14
caformer_b36.sail_in22k_ft_in1k,90.431,9.569,98.764,1.236,98.75,224,1.0,bicubic,3.011,0.436,16
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,90.428,9.572,98.642,1.358,304.53,336,1.0,bicubic,2.248,0.07,-8
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,90.418,9.582,98.644,1.356,632.05,224,1.0,bicubic,2.162,0.092,-16
vit_large_patch14_clip_224.openai_ft_in12k_in1k,90.382,9.618,98.659,1.341,304.20,224,1.0,bicubic,2.207,0.113,-10
maxvit_xlarge_tf_384.in21k_ft_in1k,90.379,9.621,98.582,1.418,475.32,384,1.0,bicubic,2.065,0.038,-22
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,90.377,9.623,98.648,1.351,73.88,384,1.0,bicubic,2.995,0.337,12
beit_base_patch16_384.in22k_ft_in22k_in1k,90.367,9.633,98.725,1.275,86.74,384,1.0,bicubic,3.567,0.589,36
maxvit_large_tf_512.in21k_ft_in1k,90.362,9.638,98.642,1.358,212.33,512,1.0,bicubic,2.138,0.044,-19
maxvit_base_tf_384.in21k_ft_in1k,90.36,9.64,98.683,1.317,119.65,384,1.0,bicubic,2.438,0.139,-13
beitv2_large_patch16_224.in1k_ft_in22k_in1k,90.354,9.646,98.587,1.413,304.43,224,0.95,bicubic,1.96,-0.011,-32
vit_large_patch14_clip_336.laion2b_ft_in1k,90.332,9.668,98.597,1.403,304.53,336,1.0,bicubic,2.476,0.229,-13
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,90.33,9.67,98.77,1.23,88.59,384,1.0,bicubic,3.196,0.548,10
maxvit_large_tf_384.in21k_ft_in1k,90.315,9.685,98.687,1.313,212.03,384,1.0,bicubic,2.329,0.119,-20
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,90.311,9.689,98.668,1.332,304.20,224,1.0,bicubic,2.417,0.26,-17
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,90.309,9.691,98.651,1.349,200.13,256,1.0,bicubic,2.973,0.433,1
vit_large_patch14_clip_224.openai_ft_in1k,90.307,9.693,98.64,1.36,304.20,224,1.0,bicubic,2.453,0.214,-17
caformer_s36.sail_in22k_ft_in1k_384,90.305,9.695,98.794,1.206,39.30,384,1.0,bicubic,3.447,0.582,19
convnext_base.fb_in22k_ft_in1k_384,90.283,9.717,98.8,1.2,88.59,384,1.0,bicubic,3.487,0.536,23
convnext_large.fb_in22k_ft_in1k_384,90.279,9.721,98.659,1.341,197.77,384,1.0,bicubic,2.807,0.273,-10
deit3_large_patch16_384.fb_in22k_ft_in1k,90.247,9.753,98.625,1.375,304.76,384,1.0,bicubic,2.527,0.113,-17
dm_nfnet_f6.dm_in1k,90.241,9.759,98.625,1.375,438.36,576,0.956,bicubic,3.879,0.729,44
deit3_huge_patch14_224.fb_in22k_ft_in1k,90.226,9.774,98.64,1.36,632.13,224,1.0,bicubic,3.04,0.38,-1
vit_large_patch16_384.augreg_in21k_ft_in1k,90.213,9.787,98.661,1.339,304.72,384,1.0,bicubic,3.129,0.359,0
vit_base_patch16_clip_384.laion2b_ft_in1k,90.211,9.789,98.702,1.298,86.86,384,1.0,bicubic,3.593,0.694,21
convformer_m36.sail_in22k_ft_in1k_384,90.204,9.796,98.651,1.349,57.05,384,1.0,bicubic,3.312,0.535,8
tf_efficientnetv2_l.in21k_ft_in1k,90.202,9.798,98.719,1.281,118.52,480,1.0,bicubic,3.4,0.583,10
vit_base_patch16_clip_384.openai_ft_in12k_in1k,90.2,9.8,98.648,1.351,86.86,384,0.95,bicubic,3.174,0.466,-2
convformer_b36.sail_in22k_ft_in1k,90.189,9.811,98.695,1.304,99.88,224,1.0,bicubic,3.191,0.523,-3
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,90.189,9.811,98.585,1.415,86.86,384,1.0,bicubic,2.983,0.55,-13
cait_m48_448.fb_dist_in1k,90.189,9.811,98.484,1.516,356.46,448,1.0,bicubic,3.697,0.732,25
vit_huge_patch14_clip_224.laion2b_ft_in1k,90.181,9.819,98.544,1.456,632.05,224,1.0,bicubic,2.593,0.326,-28
beit_large_patch16_224.in22k_ft_in22k_in1k,90.149,9.851,98.725,1.275,304.43,224,0.9,bicubic,2.671,0.421,-29
beitv2_large_patch16_224.in1k_ft_in1k,90.1,9.9,98.439,1.561,304.43,224,0.95,bicubic,2.688,0.205,-24
tf_efficientnet_b7.ns_jft_in1k,90.098,9.902,98.614,1.386,66.35,600,0.949,bicubic,3.258,0.522,-2
vit_large_patch14_clip_224.laion2b_ft_in1k,90.095,9.905,98.555,1.445,304.20,224,1.0,bicubic,2.809,0.311,-21
convnext_xlarge.fb_in22k_ft_in1k,90.066,9.934,98.619,1.381,350.20,288,1.0,bicubic,2.736,0.291,-25
caformer_b36.sail_in1k_384,90.063,9.937,98.514,1.486,98.75,384,1.0,bicubic,3.655,0.7,19
cait_m36_384.fb_dist_in1k,90.051,9.949,98.495,1.505,271.22,384,1.0,bicubic,3.993,0.765,41
tiny_vit_21m_512.dist_in22k_ft_in1k,90.029,9.971,98.493,1.507,21.27,512,1.0,bicubic,3.571,0.609,12
tf_efficientnetv2_m.in21k_ft_in1k,90.025,9.975,98.666,1.334,54.14,480,1.0,bicubic,4.033,0.722,42
convformer_s36.sail_in22k_ft_in1k_384,90.023,9.977,98.619,1.381,40.01,384,1.0,bicubic,3.645,0.635,14
deit3_large_patch16_224.fb_in22k_ft_in1k,90.008,9.992,98.659,1.341,304.37,224,1.0,bicubic,3.026,0.423,-20
convnext_base.clip_laiona_augreg_ft_in1k_384,90.001,9.998,98.548,1.452,88.59,384,1.0,bicubic,3.499,0.58,2
vit_base_patch16_384.augreg_in21k_ft_in1k,89.989,10.011,98.678,1.322,86.86,384,1.0,bicubic,3.995,0.676,35
maxvit_base_tf_512.in1k,89.974,10.026,98.433,1.567,119.88,512,1.0,bicubic,3.372,0.515,-7
caformer_m36.sail_in1k_384,89.933,10.067,98.454,1.546,56.20,384,1.0,bicubic,3.767,0.634,20
