model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,90.052,9.948,99.048,0.952,305.08,448,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,89.97,10.03,99.012,0.988,305.08,448,1.0,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,89.786,10.214,98.992,1.008,"1,014.45",560,1.0,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,89.622,10.378,98.95,1.05,305.08,448,1.0,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,89.574,10.426,98.924,1.076,305.08,448,1.0,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,89.566,10.434,98.952,1.048,"1,013.01",336,1.0,bicubic
eva_giant_patch14_336.clip_ft_in1k,89.466,10.534,98.826,1.174,"1,013.01",336,1.0,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,89.206,10.794,98.854,1.146,304.53,336,1.0,bicubic
eva_giant_patch14_224.clip_ft_in1k,88.88,11.12,98.68,1.32,"1,012.56",224,0.9,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,88.69,11.31,98.724,1.276,87.12,448,1.0,bicubic
eva_large_patch14_336.in22k_ft_in1k,88.67,11.33,98.722,1.278,304.53,336,1.0,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,88.596,11.404,98.656,1.344,305.67,512,1.0,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,88.592,11.408,98.662,1.338,632.46,336,1.0,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,88.574,11.426,98.658,1.342,304.14,196,1.0,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,88.538,11.462,98.644,1.356,475.77,512,1.0,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,88.402,11.598,98.608,1.392,305.00,384,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,88.394,11.606,98.598,1.402,304.43,224,0.95,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,88.314,11.686,98.544,1.456,475.32,384,1.0,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,88.306,11.694,98.582,1.418,200.13,384,1.0,bicubic
vit_large_patch14_clip_336.openai_ft_in12k_in1k,88.268,11.732,98.526,1.474,304.53,336,1.0,bicubic
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,88.256,11.744,98.552,1.448,632.05,224,1.0,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,88.252,11.748,98.564,1.436,87.12,448,1.0,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,88.234,11.766,98.546,1.454,480.31,475,0.936,bicubic
maxvit_large_tf_512.in21k_ft_in1k,88.224,11.776,98.598,1.402,212.33,512,1.0,bicubic
maxvit_base_tf_512.in21k_ft_in1k,88.22,11.78,98.53,1.47,119.88,512,1.0,bicubic
