model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff,rank_diff
eva_giant_patch14_336.clip_ft_in1k,82.2,17.8,96.29,3.71,"1,013.01",336,1.0,bicubic,-7.266,-2.536,6
eva02_large_patch14_448.mim_in22k_ft_in1k,82.13,17.87,96.26,3.74,305.08,448,1.0,bicubic,-7.492,-2.69,2
eva02_large_patch14_448.mim_m38m_ft_in1k,82.13,17.87,96.16,3.84,305.08,448,1.0,bicubic,-7.444,-2.764,2
eva_giant_patch14_560.m30m_ft_in22k_in1k,82.04,17.96,96.44,3.56,"1,014.45",560,1.0,bicubic,-7.746,-2.552,-1
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,81.9,18.1,96.15,3.85,305.08,448,1.0,bicubic,-8.07,-2.862,-3
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,81.89,18.11,96.37,3.63,305.08,448,1.0,bicubic,-8.162,-2.678,-5
eva_giant_patch14_336.m30m_ft_in22k_in1k,81.82,18.18,96.29,3.71,"1,013.01",336,1.0,bicubic,-7.746,-2.662,-1
eva_giant_patch14_224.clip_ft_in1k,81.75,18.25,96.08,3.92,"1,012.56",224,0.9,bicubic,-7.13,-2.6,1
eva_large_patch14_336.in22k_ft_in1k,81.19,18.81,95.88,4.12,304.53,336,1.0,bicubic,-7.48,-2.842,4
eva_large_patch14_336.in22k_ft_in22k_in1k,80.93,19.07,96.01,3.99,304.53,336,1.0,bicubic,-8.276,-2.844,-2
vit_large_patch14_clip_336.openai_ft_in12k_in1k,80.52,19.48,95.5,4.5,304.53,336,1.0,bicubic,-7.748,-3.026,13
tf_efficientnet_l2.ns_jft_in1k_475,80.47,19.53,95.73,4.27,480.31,475,0.936,bicubic,-7.764,-2.816,14
beitv2_large_patch16_224.in1k_ft_in22k_in1k,80.27,19.73,95.15,4.85,304.43,224,0.95,bicubic,-8.124,-3.448,5
eva_large_patch14_196.in22k_ft_in22k_in1k,80.17,19.83,95.38,4.62,304.14,196,1.0,bicubic,-8.404,-3.278,0
maxvit_base_tf_512.in21k_ft_in1k,80.15,19.85,95.48,4.52,119.88,512,1.0,bicubic,-8.07,-3.05,11
eva_large_patch14_196.in22k_ft_in1k,80.15,19.85,95.45,4.55,304.14,196,1.0,bicubic,-7.782,-3.048,19
maxvit_xlarge_tf_512.in21k_ft_in1k,80.1,19.9,95.48,4.52,475.77,512,1.0,bicubic,-8.438,-3.164,-2
maxvit_large_tf_512.in21k_ft_in1k,79.98,20.02,95.16,4.84,212.33,512,1.0,bicubic,-8.244,-3.438,7
beit_large_patch16_512.in22k_ft_in22k_in1k,79.95,20.05,95.35,4.65,305.67,512,1.0,bicubic,-8.646,-3.306,-8
maxvit_xlarge_tf_384.in21k_ft_in1k,79.71,20.29,95.16,4.84,475.32,384,1.0,bicubic,-8.604,-3.384,-3
vit_large_patch14_clip_224.openai_ft_in1k,79.62,20.38,95.0,5.0,304.20,224,1.0,bicubic,-8.234,-3.426,15
maxvit_large_tf_384.in21k_ft_in1k,79.59,20.41,95.07,4.93,212.03,384,1.0,bicubic,-8.396,-3.498,8
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,79.52,20.48,95.2,4.8,87.12,448,1.0,bicubic,-9.17,-3.524,-17
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,79.52,20.48,95.0,5.0,632.46,336,1.0,bicubic,-9.072,-3.662,-13
beit_large_patch16_384.in22k_ft_in22k_in1k,79.5,20.5,95.18,4.82,305.00,384,1.0,bicubic,-8.902,-3.428,-11
vit_large_patch14_clip_224.openai_ft_in12k_in1k,79.4,20.6,95.07,4.93,304.20,224,1.0,bicubic,-8.774,-3.476,2
vit_huge_patch14_clip_224.laion2b_ft_in1k,79.37,20.63,94.92,5.08,632.05,224,1.0,bicubic,-8.218,-3.298,16
maxvit_base_tf_384.in21k_ft_in1k,79.34,20.66,95.08,4.92,119.65,384,1.0,bicubic,-8.582,-3.464,5
vit_large_patch14_clip_336.laion2b_ft_in1k,79.24,20.76,95.0,5.0,304.53,336,1.0,bicubic,-8.616,-3.368,6
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,79.2,20.8,95.12,4.88,632.05,224,1.0,bicubic,-9.056,-3.432,-10
deit3_huge_patch14_224.fb_in22k_ft_in1k,79.19,20.81,94.87,5.13,632.13,224,1.0,bicubic,-7.996,-3.39,27
eva02_base_patch14_448.mim_in22k_ft_in1k,79.15,20.85,95.11,4.89,87.12,448,1.0,bicubic,-9.102,-3.454,-11
deit3_large_patch16_384.fb_in22k_ft_in1k,79.08,20.92,94.87,5.13,304.76,384,1.0,bicubic,-8.64,-3.642,7
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,79.04,20.96,95.01,4.99,200.13,384,1.0,bicubic,-9.266,-3.572,-17
caformer_b36.sail_in22k_ft_in1k_384,79.04,20.96,94.92,5.08,98.75,384,1.0,bicubic,-9.018,-3.662,-5
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,78.98,21.02,94.89,5.11,304.53,336,1.0,bicubic,-9.2,-3.682,-9
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,78.9,21.1,94.58,5.42,116.14,384,1.0,bicubic,-8.928,-3.792,1
beit_large_patch16_224.in22k_ft_in22k_in1k,78.83,21.17,94.61,5.39,304.43,224,0.9,bicubic,-8.648,-3.694,7
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,78.75,21.25,94.95,5.05,200.13,384,1.0,bicubic,-9.098,-3.496,-2
beitv2_large_patch16_224.in1k_ft_in1k,78.73,21.27,94.23,5.77,304.43,224,0.95,bicubic,-8.682,-4.004,11
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,78.65,21.35,94.66,5.34,200.13,320,1.0,bicubic,-9.308,-3.816,-10
deit3_large_patch16_224.fb_in22k_ft_in1k,78.63,21.37,94.72,5.28,304.37,224,1.0,bicubic,-8.352,-3.516,26
tf_efficientnet_b7.ns_jft_in1k,78.53,21.47,94.37,5.63,66.35,600,0.949,bicubic,-8.31,-3.722,30
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,78.49,21.51,94.66,5.34,304.20,224,1.0,bicubic,-9.404,-3.748,-11
vit_large_patch14_clip_224.laion2b_ft_in1k,78.44,21.56,94.58,5.42,304.20,224,1.0,bicubic,-8.846,-3.664,10
coatnet_rmlp_2_rw_384.sw_in12k_ft_in1k,78.24,21.76,94.35,5.65,73.88,384,1.0,bicubic,-9.142,-3.962,4
caformer_m36.sail_in22k_ft_in1k_384,78.17,21.83,94.18,5.82,56.20,384,1.0,bicubic,-9.276,-4.128,0
caformer_b36.sail_in22k_ft_in1k,78.11,21.89,94.4,5.6,98.75,224,1.0,bicubic,-9.31,-3.928,0
convformer_b36.sail_in22k_ft_in1k_384,78.04,21.96,94.17,5.83,99.88,384,1.0,bicubic,-9.562,-4.264,-10
convnext_xlarge.fb_in22k_ft_in1k_384,77.99,22.01,94.48,5.52,350.20,384,1.0,bicubic,-9.762,-4.076,-14
vit_large_patch16_384.augreg_in21k_ft_in1k,77.94,22.06,94.46,5.54,304.72,384,1.0,bicubic,-9.144,-3.842,6
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,77.94,22.06,94.39,5.61,200.13,256,1.0,bicubic,-9.396,-3.828,-2
deit3_base_patch16_384.fb_in22k_ft_in1k,77.87,22.13,94.03,5.97,86.88,384,1.0,bicubic,-8.87,-4.086,23
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,77.77,22.23,94.16,5.84,86.86,384,1.0,bicubic,-9.436,-3.874,-2
