,metric,tgt_feature,yeo7,tgt_model,score,normalized_score
0,cka_100,1,Somatomotor,S01,0.0066640322182767225,0.7580068706366772
1,cka_100,1,Somatomotor,S02,0.006864929358514177,0.8515905315296836
2,cka_100,1,Somatomotor,S05,0.0043522333414708295,-0.3188954779190081
3,cka_100,1,Somatomotor,S07,0.0048686206059763235,-0.07834745123316225
4,cka_100,10d,Default,S01,0.005074042774490257,0.01734409786201913
5,cka_100,10d,Default,S02,0.004540620594524268,-0.23113928195982295
6,cka_100,10d,Default,S05,0.005386003976471456,0.16266459024671023
7,cka_100,10d,Default,S07,0.004384635057618023,-0.30380182744351436
8,cka_100,10pp,Limbic,S01,0.005863271618535581,0.3849895726598084
9,cka_100,10pp,Limbic,S02,0.007827428193235016,1.2999501470621082
10,cka_100,10pp,Limbic,S05,0.00600210135840991,0.44966045489788864
11,cka_100,10pp,Limbic,S07,0.006458280213861531,0.6621616745005413
12,cka_100,10r,Default,S01,0.004576660344154555,-0.2143509309455517
13,cka_100,10r,Default,S02,0.004537955547956885,-0.2323807372335576
14,cka_100,10r,Default,S05,0.0030783870359009946,-0.9122896922385958
15,cka_100,10r,Default,S07,0.003991723256616876,-0.4868314350441526
16,cka_100,10v,Limbic,S01,0.006385834951338968,0.6284145894340092
17,cka_100,10v,Limbic,S02,0.008293541068977015,1.5170789187795404
18,cka_100,10v,Limbic,S05,0.00607277842071668,0.48258386149298915
19,cka_100,10v,Limbic,S07,0.006386438497177964,0.6286957384292775
20,cka_100,11l,Frontoparietal,S01,0.007434710560318843,1.1170109885350554
21,cka_100,11l,Frontoparietal,S02,0.006416081978644513,0.6425045239300302
22,cka_100,11l,Frontoparietal,S05,0.007977387893313722,1.3698056845933797
23,cka_100,11l,Frontoparietal,S07,0.005910967764943141,0.40720780825058134
24,cka_100,13l,Limbic,S01,0.009313664033321708,1.992281509774928
25,cka_100,13l,Limbic,S02,0.00628730761664628,0.5825177256574825
26,cka_100,13l,Limbic,S05,0.005769908720670751,0.3414984519627021
27,cka_100,13l,Limbic,S07,0.0054784578800983145,0.20573227530695543
28,cka_100,2,Somatomotor,S01,0.005367041357565013,0.15383125745119905
29,cka_100,2,Somatomotor,S02,0.00510478077730946,0.03166274286095011
30,cka_100,2,Somatomotor,S05,0.0037533373712378523,-0.5978784306988495
31,cka_100,2,Somatomotor,S07,0.004521548834618969,-0.2400234557688715
32,cka_100,23c,Ventral Attention,S01,0.0056803735044999295,0.2997903753907389
33,cka_100,23c,Ventral Attention,S02,0.003696545591065113,-0.62433367386913
34,cka_100,23c,Ventral Attention,S05,0.004695536800291867,-0.1589748616487603
35,cka_100,23c,Ventral Attention,S07,0.0037778453262838686,-0.5864619209790171
36,cka_100,23d,Default,S01,0.0029435820072266747,-0.9750857483458074
37,cka_100,23d,Default,S02,0.002620507410932816,-1.1255831791552906
38,cka_100,23d,Default,S05,0.003541979549846059,-0.696334977471169
39,cka_100,23d,Default,S07,0.003074185895257738,-0.9142467042739969
40,cka_100,24dd,Somatomotor,S01,0.00621442633233508,0.5485675291123028
41,cka_100,24dd,Somatomotor,S02,0.005168748335057005,0.061460669428368656
42,cka_100,24dd,Somatomotor,S05,0.004653683698082879,-0.17847123934640555
43,cka_100,24dd,Somatomotor,S07,0.005083097313971644,0.021561962543253134
