,metric,tgt_feature,yeo7,tgt_model,score,normalized_score
0,cka_100,1,Somatomotor,S01,0.011337034169705438,0.6446121540223938
1,cka_100,1,Somatomotor,S02,0.011867392386605145,0.8404675242451397
2,cka_100,1,Somatomotor,S05,0.008523604410721924,-0.39435605554455405
3,cka_100,1,Somatomotor,S07,0.009306759641117629,-0.10514556968149331
4,cka_100,10d,Default,S01,0.00979760193448168,0.07611701101305167
5,cka_100,10d,Default,S02,0.008940731070534533,-0.24031583558728462
6,cka_100,10d,Default,S05,0.009694350002083638,0.037987224763587776
7,cka_100,10d,Default,S07,0.008410787917131523,-0.4360179274931855
8,cka_100,10pp,Limbic,S01,0.010558645762795811,0.3571620028706717
9,cka_100,10pp,Limbic,S02,0.012669438581178596,1.136654232338763
10,cka_100,10pp,Limbic,S05,0.010431031754079206,0.31003557373961144
11,cka_100,10pp,Limbic,S07,0.010866096533738965,0.4707001411507602
12,cka_100,10r,Default,S01,0.008958630690912722,-0.23370570555760398
13,cka_100,10r,Default,S02,0.009057897044434987,-0.19704774910429249
14,cka_100,10r,Default,S05,0.007308203382984212,-0.8431900901112149
15,cka_100,10r,Default,S07,0.008211651730855193,-0.5095566985447365
16,cka_100,10v,Limbic,S01,0.011312073014116814,0.6353942778526313
17,cka_100,10v,Limbic,S02,0.013171044349420525,1.3218916441755744
18,cka_100,10v,Limbic,S05,0.010511177054713891,0.33963233876981747
19,cka_100,10v,Limbic,S07,0.011133641567966132,0.5695015362458196
20,cka_100,11l,Frontoparietal,S01,0.012357341625869017,1.0214003100277815
21,cka_100,11l,Frontoparietal,S02,0.011489243080600064,0.7008212060264006
22,cka_100,11l,Frontoparietal,S05,0.013141071485486487,1.310823000049057
23,cka_100,11l,Frontoparietal,S07,0.010384500321470943,0.29285203501033524
24,cka_100,13l,Limbic,S01,0.014768856200535047,1.9119457277639584
25,cka_100,13l,Limbic,S02,0.01114650305567224,0.574251140109827
26,cka_100,13l,Limbic,S05,0.010439765834769252,0.3132609722581902
27,cka_100,13l,Limbic,S07,0.009711238763859157,0.0442240559934008
28,cka_100,2,Somatomotor,S01,0.00976514123965074,0.06412963870275569
29,cka_100,2,Somatomotor,S02,0.009811765755837717,0.08134755215875418
30,cka_100,2,Somatomotor,S05,0.007779116285540176,-0.6692872110120354
31,cka_100,2,Somatomotor,S07,0.00894909760418354,-0.237226168088804
32,cka_100,23c,Ventral Attention,S01,0.010977017603834157,0.5116620543572546
33,cka_100,23c,Ventral Attention,S02,0.008278867470860223,-0.4847346759494488
34,cka_100,23c,Ventral Attention,S05,0.008878119213131475,-0.26343769572116627
35,cka_100,23c,Ventral Attention,S07,0.00791836412292791,-0.6178645387967979
36,cka_100,23d,Default,S01,0.007055339615567221,-0.936569857229518
37,cka_100,23d,Default,S02,0.006900079589987244,-0.9939056518336202
38,cka_100,23d,Default,S05,0.0077501093328881205,-0.6799991548825614
39,cka_100,23d,Default,S07,0.0069676651509212924,-0.9689470584967828
40,cka_100,24dd,Somatomotor,S01,0.010870386832412041,0.4722845005671062
41,cka_100,24dd,Somatomotor,S02,0.009772182707484919,0.0667299741847558
42,cka_100,24dd,Somatomotor,S05,0.008943870016353378,-0.2391566579298651
43,cka_100,24dd,Somatomotor,S07,0.009682269218078318,0.033525926062920264
44,cka_100,24dv,Somatomotor,S01,0.008176362978837797,-0.5225884408103093
45,cka_100,24dv,Somatomotor,S02,0.008232777929643635,-0.5017550291196881
46,cka_100,24dv,Somatomotor,S05,0.008369113712835599,-0.45140774601778483
47,cka_100,24dv,Somatomotor,S07,0.008855614009885155,-0.2717486161015696
48,cka_100,25,Limbic,S01,0.011612343069415762,0.7462806579886083
49,cka_100,25,Limbic,S02,0.014471357727731695,1.8020828621102325
50,cka_100,25,Limbic,S05,0.010439320724797195,0.31309659811334006
51,cka_100,25,Limbic,S07,0.010670806622498438,0.3985817565420164
52,cka_100,31a,Default,S01,0.006929373130773989,-0.9830878741635366
53,cka_100,31a,Default,S02,0.007154645888474529,-0.8998971589928473
54,cka_100,31a,Default,S05,0.006678045168348702,-1.0759004856393788
55,cka_100,31a,Default,S07,0.00674284047450331,-1.051972302250817
56,cka_100,31pd,Default,S01,0.006944347458046164,-0.9775580222289844
57,cka_100,31pd,Default,S02,0.007081759873253825,-0.9268131509398733
58,cka_100,31pd,Default,S05,0.006360685172703943,-1.1930979900058427
59,cka_100,31pd,Default,S07,0.007087240681215809,-0.9247891497302961
60,cka_100,31pv,Default,S01,0.006857816399665945,-1.0095129763237725
61,cka_100,31pv,Default,S02,0.006839886037886426,-1.016134458809863
62,cka_100,31pv,Default,S05,0.006202286981438066,-1.2515926741729748
63,cka_100,31pv,Default,S07,0.006682381050351321,-1.074299292808184
64,cka_100,33pr,Ventral Attention,S01,0.011136624653885902,0.5706031565820482
65,cka_100,33pr,Ventral Attention,S02,0.01102754415190868,0.5303209446391122
66,cka_100,33pr,Ventral Attention,S05,0.009115887896896631,-0.1756323745206727
67,cka_100,33pr,Ventral Attention,S07,0.0099364387518484,0.1273878981218842
