,tgt_feature,yeo7,score_change,normalized_score_change,raw_std,norm_std,raw_cv,norm_cv,raw_sign_consistency,norm_sign_consistency,deviation
1,10d,Default,-0.010085114054882549,-0.0877738891691306,0.0010618444152491458,0.09829573659880816,0.10528829019390916,1.1198744584440494,1.0,0.75,-0.08777388916913068
3,10r,Default,-0.00500175928035,-0.006509151602804922,0.00046774283253832967,0.09403365480954896,0.09351566245419135,14.44637650919484,1.0,0.5,-0.006509151602804993
9,23d,Default,-0.0037989551076652492,-0.25031120124048234,0.00043592540554665787,0.18244157451236712,0.1147487646450678,0.728859010736357,1.0,0.75,-0.2503112012404824
13,31a,Default,-0.003369788846355036,-0.2894460977020391,0.00032871536724387863,0.13198264275586952,0.09754776403852032,0.45598349331257787,1.0,1.0,-0.28944609770203916
14,31pd,Default,-0.003505242595406583,-0.2746658843433486,0.00021584293522546171,0.11983653002365138,0.06157717457510968,0.4362992888983935,1.0,1.0,-0.27466588434334865
15,31pv,Default,-0.003226963287813391,-0.3230407945736342,0.00051361312888767,0.10763928259609322,0.1591629910471331,0.33320646928868863,1.0,1.0,-0.32304079457363427
22,45,Default,-0.008988582672077985,-0.015516063941300121,0.0006439942818236511,0.07368444486190348,0.07164580950277581,4.748913457734134,1.0,0.75,-0.015516063941300192
24,47l,Default,-0.00968375947726077,0.03337228367695713,0.0018636985582079222,0.22208651790170147,0.19245609750884726,6.654819312082248,1.0,0.75,0.03337228367695706
25,47m,Default,-0.004981660990862567,0.3557408106344267,0.0004504072121764761,0.09939890185804377,0.09041305962060031,0.2794138285140133,1.0,1.0,0.35574081063442664
26,47s,Default,-0.011426501864195181,0.3707333206904075,0.0011684147689522107,0.1280009091933973,0.10225480928799614,0.34526410778244687,1.0,1.0,0.37073332069040743
43,7m,Default,-0.005585566851223835,-0.30523683611639013,0.00047615009937118646,0.059681504131300786,0.08524651338956919,0.19552523506220454,1.0,1.0,-0.3052368361163902
44,8Ad,Default,-0.009744131052946385,-0.324518237164686,0.0015233657488712663,0.14686210683072068,0.15633674676518622,0.4525542481490534,1.0,1.0,-0.32451823716468603
46,8BL,Default,-0.009644523440536594,-0.3967552784130961,0.0008050753703267661,0.11230530865196493,0.0834748731018662,0.28305939394468294,1.0,1.0,-0.39675527841309616
50,9a,Default,-0.00813467717111059,-0.23882631201662116,0.0018397399246786626,0.126554668693747,0.22616016419339857,0.5299025372252092,1.0,1.0,-0.23882631201662124
51,9m,Default,-0.015881616758652163,-0.5676075838295281,0.003475826130270635,0.06360635624561183,0.21885845648410046,0.11206044115279999,1.0,1.0,-0.5676075838295283
52,9p,Default,-0.008484724964344928,-0.21805188203752926,0.0008990943816982157,0.12863719337125853,0.10596623761836119,0.5899384686306839,1.0,1.0,-0.21805188203752934
102,PGi,Default,-0.013832629327890745,-0.5144502112330623,0.002154944321286255,0.11041567515633835,0.15578703587041393,0.21462849610205822,1.0,1.0,-0.5144502112330624
104,PGs,Default,-0.010180866165002744,-0.44928637575513786,0.0011511568042205426,0.07992725359602977,0.11307061556095332,0.17789823575596317,1.0,1.0,-0.4492863757551379
112,POS1,Default,-0.005642789788067535,-0.20202638380976234,0.0004595771236542997,0.27705065875368473,0.08144501938139527,1.3713587974458268,1.0,0.75,-0.20202638380976243
122,RSC,Default,-0.005678363668943894,-0.0746238820791691,0.0009518262063486329,0.12509195136284917,0.16762332633860008,1.6762991669361031,1.0,0.75,-0.07462388207916917
124,SFL,Default,-0.008338723772780379,-0.14117869523871038,0.0019444297886874505,0.22466528310888476,0.2331807410427171,1.5913540122255134,1.0,0.75,-0.14117869523871046
125,STGa,Default,-0.011737696176260033,0.8371183057312643,0.0019381574618684103,0.12949470948014996,0.16512247657154497,0.1546910497519582,1.0,1.0,0.8371183057312642
126,STSda,Default,-0.012893607159713428,0.8877033307721398,0.0026453922025421613,0.16731081249357102,0.20517083929839208,0.18847604452271363,1.0,1.0,0.8877033307721397
127,STSdp,Default,-0.009149262435735692,0.09782100778409043,0.0013513168197337158,0.1266094988549648,0.1476968038927016,1.2942976332283966,1.0,0.75,0.09782100778409036
128,STSva,Default,-0.008533198382685639,0.5020459852656631,0.0009977432309707143,0.11777637286696531,0.11692488399135241,0.23459279891391355,1.0,1.0,0.502045985265663
129,STSvp,Default,-0.008600210374966782,-0.16359710052568566,0.0020562765805004993,0.12820552312207878,0.23909607914776634,0.7836662306979566,1.0,0.75,-0.16359710052568574
132,TE1a,Default,-0.01708370240806327,0.5723625277020226,0.0026997016297871154,0.10132540913797733,0.15802790082042717,0.17703012380071165,1.0,1.0,0.5723625277020224
133,TE1m,Default,-0.013116881533327627,0.4605633060936205,0.0031576943899764708,0.23990624987663314,0.24073514592270576,0.5208974460242094,1.0,1.0,0.46056330609362045
161,a24,Default,-0.00591058707716105,0.07327413476989028,0.0004972630427761588,0.06485826076782937,0.08413090548951056,0.8851453650255977,1.0,0.75,0.07327413476989021
166,d23ab,Default,-0.003213996327793344,-0.3173607972423954,0.00038553258416389733,0.07451613808843144,0.11995427027404078,0.2347994419471953,1.0,1.0,-0.31736079724239546
167,d32,Default,-0.006256540644766258,-0.1894379852692983,0.0009400397819923475,0.11264782221381281,0.1502491289301721,0.5946422099753472,1.0,1.0,-0.1894379852692984
170,p24,Default,-0.005773882895652662,-0.05424175486483758,0.0007474037402940218,0.09132248958505212,0.12944560078569753,1.6836197466806566,1.0,0.75,-0.05424175486483765
172,p32,Default,-0.005122394573605594,-0.09127951265755205,0.0008090133060418806,0.1656910051683875,0.15793654596827075,1.8152047523522683,1.0,0.75,-0.09127951265755212
177,s32,Default,-0.004830616814968311,0.24409533896703847,0.0008418715648994879,0.23344859084981,0.17427827483455868,0.9563828290934054,1.0,1.0,0.2440953389670384
179,v23ab,Default,-0.0032641355248978062,-0.22814450677748505,0.0004416058806575477,0.07683343360616396,0.1352903019158108,0.33677529514704246,1.0,1.0,-0.22814450677748513
32,6a,Dorsal Attention,-0.010396480734499391,-0.23621773448399436,0.0011618113836829166,0.11058219478591215,0.11175044838274881,0.46813671728531875,1.0,1.0,-0.23621773448399444
38,7AL,Dorsal Attention,-0.006592592626125401,-0.0740092234362722,0.0011564171712943657,0.04920744765186081,0.17541159250636348,0.6648826371517371,1.0,0.75,-0.07400922343627227
57,AIP,Dorsal Attention,-0.007965661887614184,-0.24049265103343803,0.0026039067981031357,0.06000579194261194,0.3268914541994248,0.24951195674693927,1.0,1.0,-0.24049265103343812
61,FEF,Dorsal Attention,-0.006660742971409997,-0.1529813688732876,0.001139984858886963,0.09659606038890778,0.17114980472600977,0.6314236896972533,1.0,1.0,-0.15298136887328767
68,FST,Dorsal Attention,-0.004814259098739196,0.1336607781109717,0.001259405076843759,0.41939761538651876,0.261598939943549,3.1377762520454158,1.0,0.5,0.13366077811097163
71,IFJp,Dorsal Attention,-0.0038831852739668288,-0.07544610071044242,0.0010777031679488362,0.15747001845067865,0.27753071046438105,2.0871856460155453,1.0,0.5,-0.07544610071044248
74,IP0,Dorsal Attention,-0.003610689509184306,-0.2561321313105116,0.00035353594632314537,0.05725655259655406,0.09791369361000885,0.22354302954337796,1.0,1.0,-0.25613213131051166
80,LIPd,Dorsal Attention,-0.0037315963268366114,-0.16005399421492267,0.0005174708478442061,0.07205759221902547,0.13867278304534136,0.4502080224393873,1.0,1.0,-0.16005399421492275
95,PCV,Dorsal Attention,-0.005949903859220495,0.010465534904891709,0.0009758517759769404,0.14491450444881848,0.16401135195901942,13.846832079369761,1.0,0.5,0.010465534904891638
96,PEF,Dorsal Attention,-0.0041212634898876365,-0.05977639066649816,0.0006445176824926872,0.11476276774375622,0.15638837072032477,1.9198678017218482,1.0,0.5,-0.05977639066649823
101,PFt,Dorsal Attention,-0.006699710537835952,-0.16108291694361887,0.0004250596321626768,0.0751722092685202,0.06344447715497477,0.46666779255575225,1.0,1.0,-0.16108291694361895
103,PGp,Dorsal Attention,-0.006257999753949666,-0.20513099318422082,0.0004543992961420105,0.10766095493067658,0.07261094822754212,0.5248400217805708,1.0,1.0,-0.2051309931842209
105,PH,Dorsal Attention,-0.008587707519561186,-0.17714300817671644,0.0018637854213513166,0.18512864636492093,0.21702944785974176,1.0450801771427414,1.0,0.75,-0.17714300817671652
109,PHT,Dorsal Attention,-0.01004582701922926,0.08544104218610549,0.001605609291276717,0.2810637798839439,0.15982848283205886,3.289564039630251,1.0,0.5,0.08544104218610542
136,TE2p,Dorsal Attention,-0.013819788279727083,0.3852880102982622,0.0018298725700048842,0.2412310336647391,0.13240959506515834,0.626105737051084,1.0,1.0,0.38528801029826215
141,TPOJ2,Dorsal Attention,-0.005558763251895672,0.1392562132281766,0.0005085345176005557,0.4752328573973631,0.09148339199859486,3.412651014850418,1.0,0.25,0.13925621322817652
142,TPOJ3,Dorsal Attention,-0.0037394740134053498,0.005878559295108637,0.000455588732038923,0.3870031163263424,0.12183230326129246,65.83298677421786,1.0,0.25,0.005878559295108566
5,11l,Frontoparietal,-0.013964211567841745,0.3282474823930623,0.002339296372450263,0.17427330780496927,0.16752083431888423,0.5309204705377891,1.0,1.0,0.32824748239306223
21,44,Frontoparietal,-0.006827750356133864,-0.03235999181614654,0.0012492929669840655,0.08454447385525911,0.18297285369576158,2.612623462193655,1.0,0.5,-0.032359991816146606
23,46,Frontoparietal,-0.013627395296488973,-0.399653452205509,0.002230833316864631,0.22914728060171335,0.1637021065529224,0.5733649473991825,1.0,1.0,-0.3996534522055091
42,7Pm,Frontoparietal,-0.004345991445747708,-0.09860018098490612,0.000611049413377295,0.03862185187118416,0.14060069399703262,0.3917016326480826,1.0,1.0,-0.0986001809849062
45,8Av,Frontoparietal,-0.009410883005980721,-0.33897309784294727,0.002233408563874607,0.10650483491311198,0.2373218923724002,0.3141984882896451,1.0,1.0,-0.3389730978429473
47,8BM,Frontoparietal,-0.007772621469542438,-0.2723629550447927,0.0007895860967992006,0.13046760330387333,0.10158555898974998,0.4790211035947113,1.0,1.0,-0.27236295504479274
48,8C,Frontoparietal,-0.009819656236050972,-0.21751155050639973,0.0025316529277042937,0.15685400533513136,0.2578148223162659,0.7211295444768406,1.0,1.0,-0.2175115505063998
49,9-46d,Frontoparietal,-0.014095199911341698,-0.41351722283770753,0.004117827856442246,0.14458576708203968,0.2921439839337672,0.3496487185946909,1.0,1.0,-0.4135172228377076
58,AVI,Frontoparietal,-0.006318535466115379,-0.09520142068258078,0.0008392758316142433,0.13389327007378227,0.13282758894288965,1.4064209243285066,1.0,0.75,-0.09520142068258085
70,IFJa,Frontoparietal,-0.0050716135993916465,0.11300232326861315,0.0006005387545728663,0.16674732979195525,0.11841177227005277,1.475609748266742,1.0,0.75,0.11300232326861308
72,IFSa,Frontoparietal,-0.0086928827250363,-0.02730055414608929,0.00221806844359519,0.16441156094305903,0.25515913578437555,6.022279257163372,1.0,0.5,-0.027300554146089364
73,IFSp,Frontoparietal,-0.0056243273026956656,-0.045438601665640094,0.0006373890501917403,0.09315620290244217,0.11332716178986386,2.050155583306282,1.0,0.5,-0.04543860166564016
75,IP1,Frontoparietal,-0.0071369063559198,-0.28898548618716713,0.0017954694629062089,0.0935676203929249,0.251575314760426,0.3237796528380806,1.0,1.0,-0.2889854861871672
76,IP2,Frontoparietal,-0.0049455224453592486,-0.34378784319453726,0.0009879749278068433,0.12511316892972893,0.1997715992036258,0.36392551803797163,1.0,1.0,-0.3437878431945373
99,PFm,Frontoparietal,-0.0159244082852614,-0.9571606601164794,0.003986793812559679,0.211425404917776,0.2503574224638285,0.22088810554755464,1.0,1.0,-0.9571606601164795
113,POS2,Frontoparietal,-0.0073622514516460125,-0.46505596365823293,0.0006579833788395648,0.05561377608899908,0.08937257619643736,0.11958512616745913,1.0,1.0,-0.465055963658233
134,TE1p,Frontoparietal,-0.024112915740641647,0.01541883029611582,0.006067778225698751,0.3199659779392904,0.2516401703951414,20.751637562279512,1.0,0.5,0.01541883029611575
160,a10p,Frontoparietal,-0.006462334621847409,-0.07267564071506438,0.0007118808727099736,0.16456005506673888,0.1101584666172031,2.264308280568464,1.0,0.5,-0.07267564071506445
163,a32pr,Frontoparietal,-0.004648354329953019,-0.113819348297334,0.0005987425969874837,0.09675456079434089,0.1288074347364856,0.8500712949224221,1.0,1.0,-0.11381934829733407
164,a47r,Frontoparietal,-0.014403679479126904,-0.09540408049984384,0.0032226501087864717,0.17152976020898753,0.2237379770534728,1.7979289702317114,1.0,0.75,-0.0954040804998439
165,a9-46v,Frontoparietal,-0.007103608551444268,-0.11019723607245349,0.0017017361713928085,0.2294687283965583,0.23955939563235373,2.082345588465441,1.0,0.75,-0.11019723607245356
168,i6-8,Frontoparietal,-0.005764247778865949,-0.07944939332871269,0.0006830423533404341,0.10284347529958875,0.11849635538651584,1.2944526193433064,1.0,0.75,-0.07944939332871276
169,p10p,Frontoparietal,-0.007037115751560311,-0.1038288249543825,0.0005494577717145736,0.13812395736138736,0.07807996786080214,1.3303045413648138,1.0,0.75,-0.10382882495438257
174,p47r,Frontoparietal,-0.006556366684016872,-0.08767734307544722,0.0010352998410824085,0.21919625174854523,0.15790755626988728,2.500033008070565,1.0,0.75,-0.08767734307544729
175,p9-46v,Frontoparietal,-0.008878799716924977,-0.2777291053819183,0.0013948095181511742,0.23506012810065263,0.15709437791375735,0.8463647617249566,1.0,1.0,-0.27772910538191836
178,s6-8,Frontoparietal,-0.004457058965755222,-0.20344667167323038,0.0005986387289750444,0.18078267074488302,0.13431249924547692,0.8885997950128691,1.0,1.0,-0.20344667167323047
2,10pp,Limbic,-0.011118716004006641,0.3506882215926509,0.001198134997652751,0.23839743630806948,0.10775839559361006,0.6797988116777555,1.0,1.0,0.35068822159265084
4,10v,Limbic,-0.012879107609160906,0.35188515311101914,0.001231746756599274,0.25265288071891284,0.09563913851633112,0.7179981266194578,1.0,1.0,0.3518851531110191
6,13l,Limbic,-0.00981357345198973,0.4783504452982076,0.001245848365181959,0.21712488052183654,0.12695155044968454,0.45390337284306087,1.0,1.0,0.4783504452982075
12,25,Limbic,-0.00684297818922339,0.6865368509508047,0.0010637227929244028,0.33138329400994554,0.15544734522164608,0.48268828330337005,1.0,1.0,0.6865368509508046
60,EC,Limbic,-0.013662454212863042,1.1006884015152263,0.0016692250589872737,0.13396565273190508,0.12217607707813707,0.12171078803727349,1.0,1.0,1.1006884015152263
69,H,Limbic,-0.013431971766012817,0.7311367138250829,0.0020596271689205625,0.15199742817287068,0.15333766365799528,0.20789193771663683,1.0,1.0,0.7311367138250828
90,OFC,Limbic,-0.026346689559885526,1.5640595224022968,0.0058938478752327385,0.5358642495969376,0.2237035458225647,0.34261116148181103,1.0,1.0,1.5640595224022968
115,PeEc,Limbic,-0.020451122904395127,1.0328849372441122,0.005472974389716465,0.27587087585773157,0.26761241499068367,0.2670877131714161,1.0,1.0,1.0328849372441122
